full_name,position,team,cap_hit,goals_p50,assists_p50,proj_points,goals_p25,goals_p75,assists_p25,assists_p75
Cale Makar,D,COL,9000000.0,28.968533078003627,63.92121697533486,214.7480331846806,28.59932051498564,29.355390838970557,60.323042662546726,67.55687449214476
Quinn Hughes,D,VAN,7850000.0,16.83598465512688,63.414369565356566,177.33669309609377,16.467577609542417,17.201630430483128,59.68831609175517,67.04308730029643
Nikita Kucherov,R,TBL,9500000.0,41.850991275029315,84.40181729872796,168.1037998487866,41.14920336817012,42.54487681884612,80.46338444083901,88.27434812149976
Roman Josi,D,NSH,9059000.0,18.50101096116361,55.0749905484787,165.65301398044824,18.130610547969212,18.867439185916783,51.45674148074111,58.74078151953337
Lane Hutson,D,MTL,863333.0,10.0,65.0,160.0,8.0,12.0,60.0,70.0
Kirill Kaprizov,L,MIN,9000000.0,50.37086440649371,57.84654327058196,158.5882720835694,49.6835989796632,51.066282273886515,53.77486795511881,61.80860942221422
Alex Ovechkin,L,WSH,9500000.0,50.472973585054945,45.7579395692955,146.7038867394054,49.73509422712861,51.2002093606019,41.89312947423106,49.73451194928354
Josh Morrissey,D,WPG,6250000.0,14.973904250741782,49.46878738728563,143.8592875267966,14.592578510198742,15.359267130592482,45.963929824711215,53.03960603383058
Sam Reinhart,C,FLA,8625000.0,46.79627183347124,45.27185708338612,138.8644007503286,46.093819747619165,47.498140832512206,41.220063284348775,49.10125239328275
Adrian Kempe,R,LAK,5500000.0,37.52432043321839,41.49048864506167,116.53912951149846,36.804843495277865,38.22306307227159,37.337720669465725,45.41237155054771
John Tavares,C,TOR,4389280.0,37.24212041060698,41.1613015817034,115.64554240291736,36.52782681087849,37.94232360662216,37.2195142046365,45.02495028842141
Shayne Gostisbehere,D,CAR,3200000.0,11.27319773969382,38.947983887885336,111.71556099485213,10.896698348906382,11.638272056166366,35.232585546743124,42.42258936110287
Macklin Celebrini,C,SJS,975000.0,29.332337160167203,49.30068658260388,107.96536090293829,28.653868884318246,30.040963150790084,45.4660236243792,53.36854090891368
Connor Bedard,C,CHI,950000.0,25.307060522957492,47.52718136315838,98.14130240907336,24.612199380593264,26.030009887548836,43.585446079227964,51.513763493152204
Matvei Michkov,R,PHI,950000.0,26.018907767421688,39.80695047113535,91.84476600597873,25.324523561942538,26.74121130611599,35.781634297118934,43.81646701451056
Adam Fantilli,C,CBJ,950000.0,28.503843338936587,26.293998359991537,83.30168503786471,27.787345321171493,29.20924545992846,22.374542020562735,30.32853998423546
Logan Cooley,C,UTA,950000.0,24.867778528439693,32.15597370945117,81.89153076633056,24.17094663639567,25.5744789088423,28.266620120206696,35.93049352862662
Will Smith,C,SJS,950000.0,21.98102436129961,33.049696217327934,77.01174493992715,21.279100356467573,22.706488361321483,29.033354336902402,36.76378478744009
